study_id,checklist,checklist_item_id,section,topic,reporting_item_number,reporting_item,standardised_section,standardised_subsection,standardised_subsection_note,standardised_reporting_item_elements,standardised_reporting_item_elements_note,,
akl_2024,akl_2024,akl_2024_item68,Other information,Support,25,"Describe sources of financial or non-financial support for the review, and the role of the funders or sponsors in the review.",Other information,Support,,Report the sources and types of financial or non-financial support received for the review,,,
akl_2024,akl_2024,akl_2024_item35,Methods,Changes to the methods,L2a,"Describe and justify any changes since the preceding version to the methods (items L1, 5-15).",Methodology,Living Mode Characteristics,,Report a justification for any changes done to the methodology,,,
akl_2024,akl_2024,akl_2024_item68,Other information,Support,25,"Describe sources of financial or non-financial support for the review, and the role of the funders or sponsors in the review.",Other information,Support,,Report the sources and types of financial or non-financial support received for the review,,,
akl_2024,akl_2024,akl_2024_item36,Methods,Changes to the methods,L2b,"If there are no changes to the methods, indicate so.",Methodology,Living Mode Characteristics,,Report any changes made to the methodology since the previous version of the review,,,
akl_2024,akl_2024,akl_2024_item69,Other information,Support,25a,Describe the sources of financial or non-financial support and the roles of funders or sponsors in each of the versions of the LSR.,Other information,Support,,Report the sources and types of financial or non-financial support received for the review,,,
akl_2024,akl_2024,akl_2024_item37,Methods,Changes to the methods,L2c,Indicate whether the changes to the methods were applied to previously included studies.,Methodology,Living Mode Characteristics,,Report any changes made to the methodology since the previous version of the review,,,
akl_2024,akl_2024,akl_2024_item69,Other information,Support,25a,Describe the sources of financial or non-financial support and the roles of funders or sponsors in each of the versions of the LSR.,Other information,Support,,Report the sources and types of financial or non-financial support received for the review,,,
akl_2024,akl_2024,akl_2024_item7,Introduction,Rationale,3b,"Cite the preceding version of the LSR, if applicable.",Introduction,Rationale,,Report references to previous versions of the review,,,
akl_2024,akl_2024,akl_2024_item38,Results,Study selection,16a,"Describe the results of the search and selection process, from the number of records identified in the search to the number of studies included in the review, ideally using a flow diagram.",Results,Study Selection,,Report the results of the study selection process,,,
akl_2024,akl_2024,akl_2024_item70,Other information,Competing interests,26,Declare any competing interests of review authors.,Other information,Competing Interests,,Report any conflicts of interest that may influence the results of the review,,,
akl_2024,akl_2024,akl_2024_item38,Results,Study selection,16a,"Describe the results of the search and selection process, from the number of records identified in the search to the number of studies included in the review, ideally using a flow diagram.",Results,Study Selection,,Report the total number of records identified across all sources in the literature search strategy,,,
akl_2024,akl_2024,akl_2024_item71,Other information,Competing interests,26a,Describe the competing interests of review authors and how they were managed for each of the versions of the LSR.,Other information,Competing Interests,,Report any conflicts of interest that may influence the results of the review,,,
akl_2024,akl_2024,akl_2024_item39,Results,Study selection,16a.i,"Describe what triggered the current version, if applicable.",Results,Living Mode Characteristics results,,Report what triggered the current version of the living systematic review,,,
akl_2024,akl_2024,akl_2024_item71,Other information,Competing interests,26a,Describe the competing interests of review authors and how they were managed for each of the versions of the LSR.,Other information,Competing Interests,,Report how conflicts of interest were managed,,,
akl_2024,akl_2024,akl_2024_item4,Abstract,Abstract,2a,"Indicate whether the LSR is being retired from the living mode after the publication of the current version, if applicable.",Abstract,Abstract,,Report whether the review intends to be retired after the current version,,,
akl_2024,akl_2024,akl_2024_item40,Results,Study selection,16a.ii,"Ideally, use a flow diagram to illustrate the results of the search and selection processes in the different versions of the review using one of the LSR tailored flow diagrams.",Results,Study Selection,,Report a flow diagram summarising the outcomes of the study selection process,,,
akl_2024,akl_2024,akl_2024_item72,Other information,"Availability of data, code and other materials",27,Report which of the following are publicly available and where they can be found: template data collection forms; data extracted from included studies; data used for all analyses; analytic code; any other materials used in the review.,Other information,"Availability of data, code and other materials",,Report the data extracted from each included study,,,
akl_2024,akl_2024,akl_2024_item40,Results,Study selection,16a.ii,"Ideally, use a flow diagram to illustrate the results of the search and selection processes in the different versions of the review using one of the LSR tailored flow diagrams.",Results,Study Selection,,Report a flow diagram summarising the outcomes of the study selection process,,,
akl_2024,akl_2024,akl_2024_item72,Other information,"Availability of data, code and other materials",27,Report which of the following are publicly available and where they can be found: template data collection forms; data extracted from included studies; data used for all analyses; analytic code; any other materials used in the review.,Other information,"Availability of data, code and other materials",,Report the metadata associated with each data extraction variable,,,
akl_2024,akl_2024,akl_2024_item40,Results,Study selection,16a.ii,"Ideally, use a flow diagram to illustrate the results of the search and selection processes in the different versions of the review using one of the LSR tailored flow diagrams.",Results,Study Selection,,Report a citation for each of the studies included in the review,,,
akl_2024,akl_2024,akl_2024_item72,Other information,"Availability of data, code and other materials",27,Report which of the following are publicly available and where they can be found: template data collection forms; data extracted from included studies; data used for all analyses; analytic code; any other materials used in the review.,Other information,"Availability of data, code and other materials",,Report the code required to reproduce the statistical synthesis,,,
akl_2024,akl_2024,akl_2024_item73,Other information,"Availability of data, code and other materials",27a,"Describe any changes since the preceding version to the accessibility of data, code and materials.",Other information,"Availability of data, code and other materials",,Report the data extracted from each included study,,,
akl_2024,akl_2024,akl_2024_item40,Results,Study selection,16a.ii,"Ideally, use a flow diagram to illustrate the results of the search and selection processes in the different versions of the review using one of the LSR tailored flow diagrams.",Results,Study Selection,,Report the results of the study selection process,,,
akl_2024,akl_2024,akl_2024_item41,Results,Study selection,16b,"Cite studies that might appear to meet the inclusion criteria, but which were excluded, and explain why they were excluded.",Results,Study Selection,,Report each of the studies excluded during full-text screening,,,
akl_2024,akl_2024,akl_2024_item73,Other information,"Availability of data, code and other materials",27a,"Describe any changes since the preceding version to the accessibility of data, code and materials.",Other information,"Availability of data, code and other materials",,Report the metadata associated with each data extraction variable,is descirbe any changes as this is for lsr ,,
akl_2024,akl_2024,akl_2024_item73,Other information,"Availability of data, code and other materials",27a,"Describe any changes since the preceding version to the accessibility of data, code and materials.",Other information,"Availability of data, code and other materials",,Report the code required to reproduce the statistical synthesis,,,
akl_2024,akl_2024,akl_2024_item41,Results,Study selection,16b,"Cite studies that might appear to meet the inclusion criteria, but which were excluded, and explain why they were excluded.",Results,Study Selection,,Report the results of the study selection process,,,
akl_2024,akl_2024,akl_2024_item42,Results,Study characteristics,17,Cite each included study and present its characteristics.,Results,Study characteristics,,Report a citation for each of the studies included in the review,,,
akl_2024,akl_2024,akl_2024_item74,Other information,Authors and roles,L4,Provide the list of authors and their roles for each version of the LSR.,Other information,Authors and roles,,Report the contribution of each author to the review,,,
akl_2024,akl_2024,akl_2024_item42,Results,Study characteristics,17,Cite each included study and present its characteristics.,Results,Data Characteristics,,Report the characteristics extracted from each of the included studies,,,
akl_2024,akl_2024,akl_2024_item8,Introduction,Objectives,4,Provide an explicit statement of the objective(s) or question(s) the review addresses.,Introduction,Objectives,,Report the objectives of the review,,,
akl_2024,akl_2024,akl_2024_item43,Results,Risk of bias in studies,18,Present assessments of risk of bias for each included study.,Results,Risk of bias in studies,,Report the results of the risk of bias assessment,,,
akl_2024,akl_2024,akl_2024_item44,Results,Results of individual studies,19,"For all outcomes, present, for each study: (a) summary statistics for each group (if appropriate) and (b) an effect estimate and its precision (e.g., confidence or credible interval), ideally using structured tables or plots.",Results,Results of Individual Studies,,Report the error around the effect size point estimates for each individual study ,,,
akl_2024,akl_2024,akl_2024_item44,Results,Results of individual studies,19,"For all outcomes, present, for each study: (a) summary statistics for each group (if appropriate) and (b) an effect estimate and its precision (e.g., confidence or credible interval), ideally using structured tables or plots.",Results,Results of Individual Studies,,Report the effect size point estimates for each individual study,,,
akl_2024,akl_2024,akl_2024_item45,Results,Results of syntheses,20a,"For each synthesis, briefly summarise the characteristics and risk of bias among contributing studies.",Results,Data Characteristics,,Report the characteristics extracted from each of the included studies,,,
akl_2024,akl_2024,akl_2024_item45,Results,Results of syntheses,20a,"For each synthesis, briefly summarise the characteristics and risk of bias among contributing studies.",Results,Risk of bias in studies,,Report the results of the risk of bias assessment,,,
akl_2024,akl_2024,akl_2024_item46,Results,Results of syntheses,20b,"Present results of all statistical syntheses conducted. If meta-analysis was done, present for each the summary estimate and its precision and measures of statistical heterogeneity. If comparing groups, describe the direction of the effect.",Results,Results of Syntheses (results of statistical syntheses),,Report the pooled effect size point estimate,,,
akl_2024,akl_2024,akl_2024_item46,Results,Results of syntheses,20b,"Present results of all statistical syntheses conducted. If meta-analysis was done, present for each the summary estimate and its precision and measures of statistical heterogeneity. If comparing groups, describe the direction of the effect.",Results,Results of Syntheses (results of statistical syntheses),,Report the error around the pooled effect size point estimate,,,
akl_2024,akl_2024,akl_2024_item46,Results,Results of syntheses,20b,"Present results of all statistical syntheses conducted. If meta-analysis was done, present for each the summary estimate and its precision and measures of statistical heterogeneity. If comparing groups, describe the direction of the effect.",Results,Results of Syntheses (results of investigations of heterogeneity),,Report the results of the heterogeneity assessment,,,
akl_2024,akl_2024,akl_2024_item46,Results,Results of syntheses,20b,"Present results of all statistical syntheses conducted. If meta-analysis was done, present for each the summary estimate and its precision and measures of statistical heterogeneity. If comparing groups, describe the direction of the effect.",Results,Results of Syntheses (results of statistical syntheses),,Report the direction of the pooled effect size point estimate,,,
akl_2024,akl_2024,akl_2024_item47,Results,Results of syntheses,20b.i,Report results of any analytical methods applied specifically because of the living mode.,Results,Living Mode Characteristics results,,Report the results of any analysis conducted due to the living mode,,,
akl_2024,akl_2024,akl_2024_item48,Results,Results of syntheses,20c,Present results of all investigations of possible causes of heterogeneity among study results.,Results,Results of Syntheses (results of investigations of heterogeneity),,Report the results of the heterogeneity assessment,,,
akl_2024,akl_2024,akl_2024_item49,Results,Results of syntheses,20d,Present results of all sensitivity analyses conducted to assess the robustness of the synthesised results.,Results,Results of Syntheses (results of sensitivity analysis),,Report the results from each of the sensitivity analysis,,,
akl_2024,akl_2024,akl_2024_item5,Introduction,Rationale,3,Describe the rationale for the review in the context of existing knowledge.,Introduction,Rationale,,Report the rationale for conducting the review,,,
akl_2024,akl_2024,akl_2024_item50,Results,Reporting biases,21,Present assessments of risk of bias due to missing results (arising from reporting biases) for each synthesis assessed.,Methodology,Synthesis Methods (Statistical Synthesis Methods),,Report the method used to assess for potential risk of bias due to missing studies,,,
akl_2024,akl_2024,akl_2024_item51,Results,Certainty of evidence,22,Present assessments of certainty (or confidence) in the body of evidence for each outcome assessed.,Results,Certainty of evidence,,Report the results from the certainty of the evidence assessment ,,,
akl_2024,akl_2024,akl_2024_item52,Results,Changes to the results,L3,Describe changes to the results.,Results,Living Mode Characteristics results,,Report any changes to the results during the update of the review,,,
akl_2024,akl_2024,akl_2024_item53,Results,Changes to the results,L3a,Indicate the studies that were included since the preceding version (related to PRISMA 2020 item 17).,Results,Living Mode Characteristics results,,Report any additional studies found when updating the literature search strategy,,,
akl_2024,akl_2024,akl_2024_item54,Results,Changes to the results,L3b,"Describe and justify the changes since the preceding version in the eligibility status of any study (i.e., excluding a previously included study, including a previously excluded study).",Results,Living Mode Characteristics results,,Report any changes to the screening process results during the update of the review,,,
akl_2024,akl_2024,akl_2024_item55,Results,Changes to the results,L3c,Describe any other consequential changes since the preceding version to the results.,Results,Living Mode Characteristics results,,Report any changes to the results during the update of the review,,,
akl_2024,akl_2024,akl_2024_item56,Results,Changes to the results,L3d,"If there are no changes to the results, indicate so.",Results,Living Mode Characteristics results,,Report any changes to the results during the update of the review,,,
akl_2024,akl_2024,akl_2024_item57,Discussion,Discussion,23a,Provide a general interpretation of the results in the context of other evidence.,Discussion,Discussion,,Report an interpretation of the results,,,
akl_2024,akl_2024,akl_2024_item58,Discussion,Discussion,23b,Discuss any limitations of the evidence included in the review.,Discussion,Discussion,,Report any limitations identified in the studies included in the review,,,
akl_2024,akl_2024,akl_2024_item59,Discussion,Discussion,23c,Discuss any limitations of the review processes used.,Discussion,Discussion,,Report any limitations in the review methodology,,,
akl_2024,akl_2024,akl_2024_item6,Introduction,Rationale,3a,Justify the use of the living mode.,Introduction,Rationale,,Report the rationale for selecting the methodology used to conduct the review,,,
akl_2024,akl_2024,akl_2024_item60,Discussion,Discussion,23c.i,Discuss any limitations related to the living mode.,Discussion,Discussion,,Report any limitations in the review methodology,,,
akl_2024,akl_2024,akl_2024_item61,Discussion,Discussion,23d,"Discuss implications of the results for practice, policy, and future research.",Discussion,Discussion,,Report any limitations in the review methodology,,,
akl_2024,akl_2024,akl_2024_item61,Discussion,Discussion,23d,"Discuss implications of the results for practice, policy, and future research.",Discussion,Discussion,,Report any strengths in the review methodology,,,
akl_2024,akl_2024,akl_2024_item62,Discussion,Discussion,23d.i,"Describe any changes since the preceding version to the implications of the results for practice, policy, and future research.",Discussion,Discussion,,Report the implications of the review results for future research,,,
akl_2024,akl_2024,akl_2024_item62,Discussion,Discussion,23d.i,"Describe any changes since the preceding version to the implications of the results for practice, policy, and future research.",Discussion,Discussion,,Report the implications of the review results for policy,,,
akl_2024,akl_2024,akl_2024_item62,Discussion,Discussion,23d.i,"Describe any changes since the preceding version to the implications of the results for practice, policy, and future research.",Discussion,Discussion,,Report the implications of the result of the review,,,
akl_2024,akl_2024,akl_2024_item62,Discussion,Discussion,23d.i,"Describe any changes since the preceding version to the implications of the results for practice, policy, and future research.",Discussion,Discussion,,Report the implications of the review results for practice,,,
APA_2018,APA_2018,APA_2018_item71,Discussion,,,Impact of data censoring,Discussion ,Discussion,,Report an interpretation of the publication bias assessment results,,,
APA_2018,APA_2018,APA_2018_item69,Discussion,,,Statement of major findings,Discussion,Discussion,,Report an interpretation of the results,,,
APA_2018,APA_2018,APA_2018_item70,Discussion,,,Consideration of alternative explanations for observed results,Discussion,Discussion,,Report an interpretation of the results,,,
APA_2018,APA_2018,APA_2018_item28,Methods,Search Strategies,,"Other efforts to retrieve all available studies, e.g., Listservs queried",Methodology,Search Strategy,,Report any additional literature search strategies used in the review,,,
APA_2018,APA_2018,APA_2018_item29,Methods,Search Strategies,,Contacts made with authors (and how authors were chosen),Methodology,Information Sources,,Report any contact with study authors to retrieve additional information relevant to the literature search strategy,,,
APA_2018,APA_2018,APA_2018_item29,Methods,Search Strategies,,Contacts made with authors (and how authors were chosen),Methodology,Information Sources,,Report any contact with study authors to retrieve additional information relevant to the literature search strategy,,,
APA_2018,APA_2018,APA_2018_item48,Methods,Statistical Methods,,"Corrections made to effect sizes (e.g., small sample bias, correction for unequal sample sizes, etc.)",Methodology,Effect Measures,,Report any corrections applied to the effect size measure used,,,
APA_2018,APA_2018,APA_2018_item14,Introduction,,,"Types of study designs used in the primary research, their strengths and weaknesses",Introduction,Rationale,,Report any limitations identified in the studies included in the review,,,
APA_2018,APA_2018,APA_2018_item73,Discussion,,,General limitations (including assessment of the quality of studies included),Discussion,Discussion,,Report any limitations identified in the studies included in the review,,,
