study_id,checklist,checklist_item_id,section,topic,reporting_item_number,reporting_item,standardised_section,standardised_subsection,standardised_subsection_note,standardised_reporting_item_elements,standardised_reporting_item_elements_note,X,X.1
eden_2011,eden_2011,eden_2011_item19,Methods,NA,5.1.6.14,"Additional analyses, if done, indicating which were prespecified*",Methodology,Synthesis Methods,,NA,,NA,NA
appelbaum_2018,appelbaum_2018,appelbaum_2018_item50,Methods,Statistical Methods,NA,Adjustments for data censoring,Methodology,Synthesis Methods,Methodology,NA,,NA,NA
stanley_2013,stanley_2013,stanley_2013_item22,MRA Modeling Issues,MRA Modeling Issues,2.3,"An investigation of publication, selection, and misspecification biases. When suspected, these should be controlled for in subsequent MRA models.",Methodology,Synthesis Methods,,Report the method used to assess for potential publication bias,,NA,NA
akl_2024,akl_2024,akl_2024_item3,Title,Title,1b,Provide the version number.,Title,Title ,,Report the methodology of the review,version of living systematic review - still count this as methodlogy in title reporting,NA,NA
akl_2024,akl_2024,akl_2024_item3,Title,Title,1b,Provide the version number.,Title,Title ,,Report the version number of the review,version of living systematic review - still count this as methodlogy in title reporting,NA,NA
zhang_2020,zhang_2020,zhang_2020_item13,methods,Methods,6a_extension,"As applicable, state whether participants with a specific TCM Pattern will be included, in terms of (1) diagnostic criteria, and (2) inclusion and exclusion criteria. All criteria utilized should be universally recognized, or reference(s) where detailed explanation(s) can be found should be given.",Methodology,Synthesis Methods,,NA,,NA,NA
stroup_2000,stroup_2000,stroup_2000_item20,Reporting of Methods,,,"Assessment of confounding (eg, comparability of cases and controls in studies where appropriate",Methodology,Synthesis Methods,,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item32,Methods,Reporting bias assessment,14,Describe any methods used to assess risk of bias due to missing results in a synthesis (arising from reporting biases).,Methodology,Study Risk of Bias Assessment,,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item33,Methods,Certainty assessment,15,Describe any methods used to assess certainty (or confidence) in the body of evidence for an outcome.,Methodology,Certainty assessment,,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item34,Methods,Changes to the methods,L2,Describe changes to the methods.,Methodology,Changes to the methods,,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item35,Methods,Changes to the methods,L2a,"Describe and justify any changes since the preceding version to the methods (items L1, 5-15).",Methodology,Changes to the methods,,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item36,Methods,Changes to the methods,L2b,"If there are no changes to the methods, indicate so.",Methodology,Changes to the methods,,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item37,Methods,Changes to the methods,L2c,Indicate whether the changes to the methods were applied to previously included studies.,Methodology,Changes to the methods,,NA,,NA,NA
montazeri_2023,montazeri_2023,montazeri_2023_item13,Results,Results,13,"- Provide details of the search and selection process in a flow diagram. - Number of citations retrieved (number of publication, year of publication, type of documents, country of publication, articles with the highest impact, most impactful authors, most impactful articles, authors with the highest production, top journals, top institutions, …).",Results,Study Selection,,NA,,NA,NA
harvranek_2020,harvranek_2020,harvranek_2020_item30,,2.4 Further Reporting and Interpretation,,<93>Best practice<94> estimate(s) and sensible variations from them,Results,Synthesis results,,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item4,Abstract,Abstract,2a,"Indicate whether the LSR is being retired from the living mode after the publication of the current version, if applicable.",Abstract,Abstract,,NA,,NA,NA
harvranek_2020,harvranek_2020,harvranek_2020_item5,,"2.2 Research Literature Searching, Compilation, and Coding",,The exact databases or other sources used,Methodology,Study Selection,,NA,,NA,NA
harvranek_2020,harvranek_2020,harvranek_2020_item10,,"2.2 Research Literature Searching, Compilation, and Coding",,"A complete list of the information coded for each study or estimate.<a0>At a minimum,<a0>we recommend that reviewers conducting a meta-analysis code",other ,code reporting,,NA,,NA,NA
harvranek_2020,harvranek_2020,harvranek_2020_item29,,2.4 Further Reporting and Interpretation,,A discussion of the economic (or practical) significance of the main findings,Discussion,,,NA,,NA,NA
harvranek_2020,harvranek_2020,harvranek_2020_item8,,"2.2 Research Literature Searching, Compilation, and Coding",,A full disclosure of the rules for study (or effect size) inclusion/exclusion.<a0><a0>This should be accompanied by a PRISMA flow diagram,Methodology,eligibility criteria,,NA,,NA,NA
harvranek_2020,harvranek_2020,harvranek_2020_item4,,"2.2 Research Literature Searching, Compilation, and Coding",,A full report of how the research literature was searched.<a0> This report should include:,Methodology,Search strategy,,NA,,NA,NA
harvranek_2020,harvranek_2020,harvranek_2020_item24,,2.3 Modeling Issues,,"A fully reported meta-regression analysis, along with the exact strategy used to simplify it (e.g.,<a0>Bayesian or frequentist model averaging, general-to-specific, etc.).",Results,Synthesis Methods,,NA,,NA,NA
harvranek_2020,harvranek_2020,harvranek_2020_item31,,2.4 Further Reporting and Interpretation,,A statement about sharing the data or link to its public posting along with the codes of the core analyses.,other ,code reporting,,NA,,NA,NA
harvranek_2020,harvranek_2020,harvranek_2020_item9,,"2.2 Research Literature Searching, Compilation, and Coding",,"A statement addressing who searched, read, and coded the research literature.<a0>Two or more reviewers should code<a0>the relevant research and disclose a measure of their agreement.",Methodology,data extraction,,NA,,NA,NA
harvranek_2020,harvranek_2020,harvranek_2020_item23,,2.3 Modeling Issues,,A table<a0>displaying definitions of all the coded variables<a0>along with their descriptive statistics (means and standard deviations). ,other,code reporting,,NA,,NA,NA
mcgrath_2017,mcgrath_2017,mcgrath_2017_item69,Discussion,Discussion,60,Account for any statistical heterogeneity when interpreting the results,Methodology,Synthesis Methods,,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item5,Introduction,Rationale,3,Describe the rationale for the review in the context of existing knowledge.,Introduction,Rationale,,Report the rationale(s) of the review,,NA,NA
eden_2011,eden_2011,eden_2011_item25,Results,NA,5.1.7.6,"Additional analyses, if done, indicating which were prespecified*",Methodology,Synthesis Methods,,NA,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item49,Results (review findings),Extracted data,NA,Additional file containing extracted quantitative or qualitative data (study findings) from included studies.,other,data provision,,NA,,NA,NA
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item32,Results (review findings),Full text screening excludes,NA,Additional file containing list of and reasons for full text exclusions.,Results,Study Selection,,Report the results of the screening process,,NA,NA
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item32,Results (review findings),Full text screening excludes,NA,Additional file containing list of and reasons for full text exclusions.,Results,Study Selection,,Report each of the studies excluded during full text screening,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item39,Results (review findings),Full text screening excludes,NA,Additional file containing list of and reasons for full text exclusions.,Results,Study Selection,,Report the results of the screening process,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item39,Results (review findings),Full text screening excludes,NA,Additional file containing list of and reasons for full text exclusions.,Results,Study Selection,,Report each of the studies excluded during full text screening,,NA,NA
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item37,Results (review findings),Unobtainable articles,NA,Additional file containing list of unobtainable articles.,Results,Study Selection,,Report the results of the screening process,,NA,NA
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item37,Results (review findings),Unobtainable articles,NA,Additional file containing list of unobtainable articles.,Results,Study Selection,,Report each of the studies excluded during full text screening,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item44,Results (review findings),Unobtainable articles,NA,Additional file containing list of unobtainable articles.,Results,Study Selection,,Report the results of the screening process,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item44,Results (review findings),Unobtainable articles,NA,Additional file containing list of unobtainable articles.,Results,Study Selection,,Report each of the studies excluded during full text screening,,NA,NA
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item41,Results (review findings),Systematic map database,NA,Additional file containing meta-data and coding for included studies.,Methodology,data extraction,,NA,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item50,Results (review findings),Systematic map database,NA,Additional file containing meta-data and coding for included studies.,Methodology,data extraction,,NA,,NA,NA
sinha_2024,sinha_2024,sinha_2024_item35,,Discussion,,Alternative explanation of findings.,Discussion,Discussion,,NA,,NA,NA
sinha_2024,sinha_2024,sinha_2024_item32,,Discussion,8,"Any biases (selection bias, publication bias, and heterogenity).",Discussion,Discussion,,NA,,NA,NA
akl_2024,akl_2024,akl_2024_item6,Introduction,Rationale,3a,Justify the use of the living mode.,Introduction,Rationale,,Provide a justification for the use of the the given methodology,,NA,NA
ohlssen_2013,ohlssen_2013,ohlssen_2013_item12,Interpretation,Bayesian interpretation,12,"Bayesian interpretation of the results with respect to central tendency, standard deviation, or credible interval of the parameters of interest based on the posterior distribution or posterior predictive probabilities of certain hypothesis statements",Discussion,Discussion,,NA,,NA,NA
zumsteg_2012,zumsteg_2012,zumsteg_2012_item18,Summary of findings and conclusions,Summary of findings and conclusions,9,Clear conclusions.,Discussion,Discussion,,Report an interpretation of the results,,NA,NA
odea_2020,odea_2020,odea_2020_item82,Discussion,,25.5,"Compare results with previous reviews on the topic, if available",Discussion,Discussion,,Report an interpretation of the results,,NA,NA
sinha_2024,sinha_2024,sinha_2024_item38,,Conclusion,,Conclusion should come from analysis and interpretation.,Discussion,Discussion,,Report an interpretation of the results,,NA,NA
eden_2011,eden_2011,eden_2011_item29,Discussion,NA,5.1.8.3,Conclusions for each key question*,Discussion,Discussion,,Report an interpretation of the results,,NA,NA
levitt_2018,levitt_2018,levitt_2018_item23,Studies reviewed,,,Disciplinary affiliation of primary author,other ,author details,,Report the affiliations for each of the authors,,NA,NA
akl_2024,akl_2024,akl_2024_item74,Other information,Authors and roles,L4,Provide the list of authors and their roles for each version of the LSR.,Other,Authors and roles,,Report the roles that each of the authors had in the project,,NA,NA
akl_2024,akl_2024,akl_2024_item73,Other information,"Availability of data, code and other materials",27a,"Describe any changes since the preceding version to the accessibility of data, code and materials.",Other,"Availability of data, code and other materials",,Report the metadata associated with all the data extraction variables,is descirbe any changes as this is for lsr ,NA,NA
akl_2024,akl_2024,akl_2024_item73,Other information,"Availability of data, code and other materials",27a,"Describe any changes since the preceding version to the accessibility of data, code and materials.",Other,"Availability of data, code and other materials",,Report of the extracted data from each of the included studies,is descirbe any changes as this is for lsr ,NA,NA
akl_2024,akl_2024,akl_2024_item73,Other information,"Availability of data, code and other materials",27a,"Describe any changes since the preceding version to the accessibility of data, code and materials.",Other,"Availability of data, code and other materials",,Report all of the code necessary to reproduce the analysis,is descirbe any changes as this is for lsr ,NA,NA
akl_2024,akl_2024,akl_2024_item72,Other information,"Availability of data, code and other materials",27,Report which of the following are publicly available and where they can be found: template data collection forms; data extracted from included studies; data used for all analyses; analytic code; any other materials used in the review.,Other,"Availability of data, code and other materials",,Report the metadata associated with all the data extraction variables,,NA,NA
akl_2024,akl_2024,akl_2024_item72,Other information,"Availability of data, code and other materials",27,Report which of the following are publicly available and where they can be found: template data collection forms; data extracted from included studies; data used for all analyses; analytic code; any other materials used in the review.,Other,"Availability of data, code and other materials",,Report of the extracted data from each of the included studies,,NA,NA
akl_2024,akl_2024,akl_2024_item72,Other information,"Availability of data, code and other materials",27,Report which of the following are publicly available and where they can be found: template data collection forms; data extracted from included studies; data used for all analyses; analytic code; any other materials used in the review.,Other,"Availability of data, code and other materials",,Report all of the code necessary to reproduce the analysis,,NA,NA
campbell_2020,campbell_2020,campbell_2020_item2,Methods,Grouping studies for synthesis,1b,Detail and provide rationale for any changes made subsequent to the protocol in the groups used in the synthesis,other ,changes since protocol ,,Report any deviations from the pregistration/protocol,,NA,NA
akl_2024,akl_2024,akl_2024_item7,Introduction,Rationale,3b,"Cite the preceding version of the LSR, if applicable.",Introduction,Rationale,,Provide a reference to any previous version(s) of the report,,NA,NA
akl_2024,akl_2024,akl_2024_item70,Other information,Competing interests,26,Declare any competing interests of review authors.,Other,Competing interests,,Report any conflict of interest that could influence the results of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item47,Declarations,Competing interests,NA,Describe of any financial or non-financial competing interests that the review authors may have. ,Other,Competing Interests,,Report any conflict of interest that could influence the results of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item59,Declarations,Competing interests,NA,Describe of any financial or non-financial competing interests that the review authors may have. ,Other,Competing Interests,,Report any conflict of interest that could influence the results of the review,,NA,NA
akl_2024,akl_2024,akl_2024_item71,Other information,Competing interests,26a,Describe the competing interests of review authors and how they were managed for each of the versions of the LSR.,Other,Competing interests,,Report any conflict of interestest that could influence the results of the review,,NA,NA
akl_2024,akl_2024,akl_2024_item71,Other information,Competing interests,26a,Describe the competing interests of review authors and how they were managed for each of the versions of the LSR.,Other,Competing interests,,Report how conflicts of interest were dealt with,,NA,NA
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item3,Authors' contacts,Authors' contacts,NA,"The full names, institutional addresses and email addresses for all authors must be provided.",Other,Contact,,Report the affiliations for each of the authors,,NA,NA
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item3,Authors' contacts,Authors' contacts,NA,"The full names, institutional addresses and email addresses for all authors must be provided.",Other,Contact,,Report the full name of each of the authors,,NA,NA
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item3,Authors' contacts,Authors' contacts,NA,"The full names, institutional addresses and email addresses for all authors must be provided.",Other,Contact,,Report contact details for each of the authors,,NA,NA
akl_2024,akl_2024,akl_2024_item8,Introduction,Objectives,4,Provide an explicit statement of the objective(s) or question(s) the review addresses.,Introduction,Objectives,,Report the objective(s) of the review,,NA,NA
akl_2024,akl_2024,akl_2024_item9,Introduction,Objectives,4a,Describe and justify any changes since the preceding version to the review's objective(s) or question(s).,Introduction,Objectives,,Report the objective(s) of the review,worded as changes from a previous version for updates,NA,NA
APA_2018,APA_2018,APA_2018_item1,Title,,,"Make it clear that the report describes a research synthesis and include meta-analysis, if applicable",Title,Title,,Report the methodology of the review,,NA,NA
APA_2018,APA_2018,APA_2018_item10,Introduction,,,Clear statement of the question or relation(s) under investigation,Introduction,Objectives,,Report the objective(s) of the review,,NA,NA
APA_2018,APA_2018,APA_2018_item11,Introduction,,,Historical background,Introduction,Rationale,,Report background information on the given topic of the review,,NA,NA
APA_2018,APA_2018,APA_2018_item12,Introduction,,,"Theoretical, policy, and/or practical issues related to the question or relation(s) of interest",Introduction,Rationale,,Report the rationale(s) of the review,,NA,NA
APA_2018,APA_2018,APA_2018_item13,Introduction,,,Rational for the selection and coding of potential moderators and mediators of results,Introduction,Rationale,,Report the rationale(s) for the selection of specific a specific moderator(s) in the review,,NA,NA
APA_2018,APA_2018,APA_2018_item14,Introduction,,,"Types of study designs used in the primary research, their strengths and weaknesses",Introduction,Rationale,,Report the study design(s) used in each study synthesised in the review,,NA,NA
APA_2018,APA_2018,APA_2018_item14,Introduction,,,"Types of study designs used in the primary research, their strengths and weaknesses",Introduction,Rationale,,Identify the limitations of the synthesised studies,,NA,NA
APA_2018,APA_2018,APA_2018_item15,Introduction,,,"Types of predictor and outcome measures used, their psychometric characteristics",Introduction,Rationale,,Report the outcome(s) used in each study synthesised in the review,,NA,NA
APA_2018,APA_2018,APA_2018_item16,Introduction,,,Populations to which the question or relation is relevant,Introduction,Rationale,,Report the population(s) used in each study synthesised in the review,,NA,NA
APA_2018,APA_2018,APA_2018_item17,Introduction,,,"Hypotheses, if any",Introduction,Objectives,,Report the hypothesis in the review,,NA,NA
APA_2018,APA_2018,APA_2018_item18,Methods,Inclusion and Exclusion Criteria,,Operational characteristics of independent (predictor) and dependent (outcomes) variable(s),Methodology,Eligibility Criteria ,,Report the inclusion and exclusion criteria for the review,,NA,NA
APA_2018,APA_2018,APA_2018_item19,Methods,Inclusion and Exclusion Criteria,,Eligible participants populations,Methodology,Eligibility Criteria,,Report the relevant population(s) in eligiblity criteria of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item3,Authors' contacts,Authors' contacts,NA,"The full names, institutional addresses and email addresses for all authors must be provided.",Other,Contact,,Report the affiliations for each of the authors,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item3,Authors' contacts,Authors' contacts,NA,"The full names, institutional addresses and email addresses for all authors must be provided.",Other,Contact,,Report the full name of each of the authors,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item3,Authors' contacts,Authors' contacts,NA,"The full names, institutional addresses and email addresses for all authors must be provided.",Other,Contact,,Report contact details for each of the authors,,NA,NA
APA_2018,APA_2018,APA_2018_item20,Methods,Inclusion and Exclusion Criteria,,"Eligible research design features (e.g., random assignment only, minimal sample size)",Methodology,Eligibility Criteria,,Report the relevant study design(s) in eligiblity criteria of the review,,NA,NA
APA_2018,APA_2018,APA_2018_item21,Methods,Inclusion and Exclusion Criteria,,Time period in which studies needed to be conducted,Methodology,Eligibility Criteria,,Report the relevant timeframe in eligiblity criteria of the review,,NA,NA
APA_2018,APA_2018,APA_2018_item22,Methods,Inclusion and Exclusion Criteria,,Geographical and/or cultural restrictions,Methodology,Eligibility Criteria,,Report the relevant geographic location(s) in eligiblity criteria of the review,,NA,NA
APA_2018,APA_2018,APA_2018_item23,Methods,Search Strategies,,Reference and citation databases searched,Methodology,Information Sources and Search Strategy,,Report the scientific literature databases used to conduct the literature search,,NA,NA
APA_2018,APA_2018,APA_2018_item24,Methods,Search Strategies,,Registries (including prospective registries) searched,Methodology,Information Sources and Search Strategy,,Report the registries used to conduct the literature search,,NA,NA
APA_2018,APA_2018,APA_2018_item25,Methods,Search Strategies,,Keywords used to enter databases and registries,Methodology,Information Sources and Search Strategy,,Report the boolean operators used within the scientific literature databases to conduct the literature search,,NA,NA
APA_2018,APA_2018,APA_2018_item26,Methods,Search Strategies,,Search software used and version,Methodology,Information Sources and Search Strategy,,Report the boolean operators used within the registries to conduct the literature search,,NA,NA
APA_2018,APA_2018,APA_2018_item27,Methods,Search Strategies,,"Time period in which studies needed to be conducted, if applicable",Methodology,Eligibility Criteria,,Report the relevant timeframe in eligiblity criteria of the review,,NA,NA
APA_2018,APA_2018,APA_2018_item28,Methods,Search Strategies,,"Other efforts to retrieve all available studies, e.g., Listservs queried",Methodology,Information Sources and Search Strategy,,NA,,NA,NA
APA_2018,APA_2018,APA_2018_item29,Methods,Search Strategies,,Contacts made with authors (and how authors were chosen),Methodology,Information Sources and Search Strategy,,Report any contact with authors of potential studies to retrieve information,,NA,NA
APA_2018,APA_2018,APA_2018_item29,Methods,Search Strategies,,Contacts made with authors (and how authors were chosen),Methodology,Information Sources and Search Strategy,,Report the authors contacted to retrieve information,,NA,NA
APA_2018,APA_2018,APA_2018_item3,Abstract,,,The problem of relation(s) under investigation,Abstract,Abstract,,NA,,NA,NA
APA_2018,APA_2018,APA_2018_item30,Methods,Search Strategies,,Reference lists of reports examined,Methodology,Information Sources and Search Strategy,,Report the studies which were used to conduct a citation search,need to think of better wording ,NA,NA
APA_2018,APA_2018,APA_2018_item31,Methods,Search Strategies,,Method of addressing reports in languages other than English,Methodology,Information Sources and Search Strategy,,Report the strategy used address reports not published in the primary language of the review,,NA,NA
APA_2018,APA_2018,APA_2018_item32,Methods,Search Strategies,,Process for determining study eligibility,Methodology,Eligibility Criteria ,,Report the methods used to decide whether a study met the inclusion criteria of the review,,NA,NA
APA_2018,APA_2018,APA_2018_item33,Methods,Search Strategies,,"Aspects of reports examined (i.e., title, abstract, and/or full text)",Methodology,Selection Process,,Report the aspects of the studies examined for eligibility,,NA,NA
APA_2018,APA_2018,APA_2018_item34,Methods,Search Strategies,,Number and qualifications of relevance judges,Methodology,Selection Process,,Report the number of people who conducted the literature screening,,NA,NA
