study_id,checklist,checklist_item_id,section,topic,reporting_item_number,reporting_item,standardised_section,language,check 
akl_2024,akl_2024,akl_2024_item21,Methods,Data items,10b,"List and define all other variables for which data were sought (e.g., participant and intervention characteristics, funding sources). Describe any assumptions made about any missing or unclear information.",Methodology,english,km
akl_2024,akl_2024,akl_2024_item22,Methods,Study risk of bias assessment,11,"Specify the methods used to assess risk of bias in the included studies, including details of the tool(s) used, how many reviewers assessed each study and whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,english,km
akl_2024,akl_2024,akl_2024_item23,Methods,Study risk of bias assessment,11a,Describe whether the review team updated or planned to update risk of bias information for a previously included study when relevant.,Methodology,english,km
akl_2024,akl_2024,akl_2024_item24,Methods,Effect measures,12,"Specify for each outcome the effect measure(s) (e.g., risk ratio, mean difference) used in the synthesis or presentation of results.",Methodology,english,km
akl_2024,akl_2024,akl_2024_item25,Methods,Synthesis methods,13a,Describe the processes used to decide which studies were eligible for each synthesis.,Methodology,english,km
akl_2024,akl_2024,akl_2024_item26,Methods,Synthesis methods,13b,"Describe any methods required to prepare the data for presentation or synthesis, such as handling of missing summary statistics, or data conversions.",Methodology,english,km
akl_2024,akl_2024,akl_2024_item27,Methods,Synthesis methods,13c,Describe any methods used to tabulate or visually display results of individual studies and syntheses.,Methodology,english,km
akl_2024,akl_2024,akl_2024_item28,Methods,Synthesis methods,13d,"Describe any methods used to synthesise results and provide a rationale for the choice(s). If meta-analysis was performed, describe the model(s), method(s) to identify the presence and extent of statistical heterogeneity, and software package(s) used.",Methodology,english,km
akl_2024,akl_2024,akl_2024_item29,Methods,Synthesis methods,13d.i,Report any analytical methods applied specifically because of the living mode.,Methodology,english,km
akl_2024,akl_2024,akl_2024_item3,Title,Title,1b,Provide the version number.,Title,english,km
akl_2024,akl_2024,akl_2024_item30,Methods,Synthesis methods,13e,"Describe any methods used to explore possible causes of heterogeneity among study results (e.g., subgroup analysis, meta-regression).",Methodology,english,km
akl_2024,akl_2024,akl_2024_item31,Methods,Synthesis methods,13f,Describe any sensitivity analyses conducted to assess robustness of the synthesised results.,Methodology,english,km
akl_2024,akl_2024,akl_2024_item32,Methods,Reporting bias assessment,14,Describe any methods used to assess risk of bias due to missing results in a synthesis (arising from reporting biases).,Methodology,english,km
akl_2024,akl_2024,akl_2024_item33,Methods,Certainty assessment,15,Describe any methods used to assess certainty (or confidence) in the body of evidence for an outcome.,Methodology,english,km
akl_2024,akl_2024,akl_2024_item34,Methods,Changes to the methods,L2,Describe changes to the methods.,Methodology,english,km
akl_2024,akl_2024,akl_2024_item35,Methods,Changes to the methods,L2a,"Describe and justify any changes since the preceding version to the methods (items L1, 5-15).",Methodology,english,km
akl_2024,akl_2024,akl_2024_item36,Methods,Changes to the methods,L2b,"If there are no changes to the methods, indicate so.",Methodology,english,km
akl_2024,akl_2024,akl_2024_item37,Methods,Changes to the methods,L2c,Indicate whether the changes to the methods were applied to previously included studies.,Methodology,english,km
akl_2024,akl_2024,akl_2024_item38,Results,Study selection,16a,"Describe the results of the search and selection process, from the number of records identified in the search to the number of studies included in the review, ideally using a flow diagram.",Results,english,km
akl_2024,akl_2024,akl_2024_item39,Results,Study selection,16a.i,"Describe what triggered the current version, if applicable.",Results,english,km
akl_2024,akl_2024,akl_2024_item4,Abstract,Abstract,2a,"Indicate whether the LSR is being retired from the living mode after the publication of the current version, if applicable.",Abstract,english,km
akl_2024,akl_2024,akl_2024_item40,Results,Study selection,16a.ii,"Ideally, use a flow diagram to illustrate the results of the search and selection processes in the different versions of the review using one of the LSR tailored flow diagrams.",Results,english,km
akl_2024,akl_2024,akl_2024_item41,Results,Study selection,16b,"Cite studies that might appear to meet the inclusion criteria, but which were excluded, and explain why they were excluded.",Results,english,km
akl_2024,akl_2024,akl_2024_item42,Results,Study characteristics,17,Cite each included study and present its characteristics.,Results,english,km
akl_2024,akl_2024,akl_2024_item43,Results,Risk of bias in studies,18,Present assessments of risk of bias for each included study.,Results,english,km
akl_2024,akl_2024,akl_2024_item44,Results,Results of individual studies,19,"For all outcomes, present, for each study: (a) summary statistics for each group (if appropriate) and (b) an effect estimate and its precision (e.g., confidence or credible interval), ideally using structured tables or plots.",Results,english,km
akl_2024,akl_2024,akl_2024_item45,Results,Results of syntheses,20a,"For each synthesis, briefly summarise the characteristics and risk of bias among contributing studies.",Results,english,km
akl_2024,akl_2024,akl_2024_item46,Results,Results of syntheses,20b,"Present results of all statistical syntheses conducted. If meta-analysis was done, present for each the summary estimate and its precision and measures of statistical heterogeneity. If comparing groups, describe the direction of the effect.",Results,english,km
akl_2024,akl_2024,akl_2024_item47,Results,Results of syntheses,20b.i,Report results of any analytical methods applied specifically because of the living mode.,Results,english,km
akl_2024,akl_2024,akl_2024_item48,Results,Results of syntheses,20c,Present results of all investigations of possible causes of heterogeneity among study results.,Results,english,km
akl_2024,akl_2024,akl_2024_item49,Results,Results of syntheses,20d,Present results of all sensitivity analyses conducted to assess the robustness of the synthesised results.,Results,english,km
akl_2024,akl_2024,akl_2024_item5,Introduction,Rationale,3,Describe the rationale for the review in the context of existing knowledge.,Introduction,english,km
akl_2024,akl_2024,akl_2024_item50,Results,Reporting biases,21,Present assessments of risk of bias due to missing results (arising from reporting biases) for each synthesis assessed.,Results,english,km
akl_2024,akl_2024,akl_2024_item51,Results,Certainty of evidence,22,Present assessments of certainty (or confidence) in the body of evidence for each outcome assessed.,Results,english,km
akl_2024,akl_2024,akl_2024_item52,Results,Changes to the results,L3,Describe changes to the results.,Results,english,km
akl_2024,akl_2024,akl_2024_item53,Results,Changes to the results,L3a,Indicate the studies that were included since the preceding version (related to PRISMA 2020 item 17).,Results,english,km
akl_2024,akl_2024,akl_2024_item54,Results,Changes to the results,L3b,"Describe and justify the changes since the preceding version in the eligibility status of any study (i.e., excluding a previously included study, including a previously excluded study).",Results,english,km
akl_2024,akl_2024,akl_2024_item55,Results,Changes to the results,L3c,Describe any other consequential changes since the preceding version to the results.,Results,english,km
akl_2024,akl_2024,akl_2024_item56,Results,Changes to the results,L3d,"If there are no changes to the results, indicate so.",Results,english,km
akl_2024,akl_2024,akl_2024_item57,Discussion,Discussion,23a,Provide a general interpretation of the results in the context of other evidence.,Discussion,english,km
akl_2024,akl_2024,akl_2024_item58,Discussion,Discussion,23b,Discuss any limitations of the evidence included in the review.,Discussion,english,km
akl_2024,akl_2024,akl_2024_item59,Discussion,Discussion,23c,Discuss any limitations of the review processes used.,Discussion,english,km
akl_2024,akl_2024,akl_2024_item6,Introduction,Rationale,3a,Justify the use of the living mode.,Introduction,english,km
akl_2024,akl_2024,akl_2024_item60,Discussion,Discussion,23c.i,Discuss any limitations related to the living mode.,Discussion,english,km
akl_2024,akl_2024,akl_2024_item61,Discussion,Discussion,23d,"Discuss implications of the results for practice, policy, and future research.",Discussion,english,km
akl_2024,akl_2024,akl_2024_item62,Discussion,Discussion,23d.i,"Describe any changes since the preceding version to the implications of the results for practice, policy, and future research.",Discussion,english,km
akl_2024,akl_2024,akl_2024_item63,Discussion,Discussion,23d.ii,Describe and justify any planned changes to review methods in upcoming review versions.,Discussion,english,km
akl_2024,akl_2024,akl_2024_item64,Discussion,Discussion,23d.iii,"Indicate and justify whether the LSR is being retired from the living mode following the publication of the current version, if applicable.",Discussion,english,km
akl_2024,akl_2024,akl_2024_item65,Other information,Registration and protocol,24a,"Provide registration information for the review, including register name and registration number, or state that the review was not registered.",Other,english,km
akl_2024,akl_2024,akl_2024_item66,Other information,Registration and protocol,24b,"Indicate where the review protocol can be accessed, or state that a protocol was not prepared.",Other,english,km
akl_2024,akl_2024,akl_2024_item67,Other information,Registration and protocol,24c,Describe and explain any amendments to information provided at registration or in the protocol.,Other,english,km
akl_2024,akl_2024,akl_2024_item68,Other information,Support,25,"Describe sources of financial or non-financial support for the review, and the role of the funders or sponsors in the review.",Other,english,km
akl_2024,akl_2024,akl_2024_item69,Other information,Support,25a,Describe the sources of financial or non-financial support and the roles of funders or sponsors in each of the versions of the LSR.,Other,english,km
akl_2024,akl_2024,akl_2024_item7,Introduction,Rationale,3b,"Cite the preceding version of the LSR, if applicable.",Introduction,english,km
akl_2024,akl_2024,akl_2024_item70,Other information,Competing interests,26,Declare any competing interests of review authors.,Other,english,km
akl_2024,akl_2024,akl_2024_item71,Other information,Competing interests,26a,Describe the competing interests of review authors and how they were managed for each of the versions of the LSR.,Other,english,km
akl_2024,akl_2024,akl_2024_item72,Other information,"Availability of data, code and other materials",27,Report which of the following are publicly available and where they can be found: template data collection forms; data extracted from included studies; data used for all analyses; analytic code; any other materials used in the review.,Other,english,km
akl_2024,akl_2024,akl_2024_item73,Other information,"Availability of data, code and other materials",27a,"Describe any changes since the preceding version to the accessibility of data, code and materials.",Other,english,km
akl_2024,akl_2024,akl_2024_item74,Other information,Authors and roles,L4,Provide the list of authors and their roles for each version of the LSR.,Other,english,km
akl_2024,akl_2024,akl_2024_item8,Introduction,Objectives,4,Provide an explicit statement of the objective(s) or question(s) the review addresses.,Introduction,english,km
akl_2024,akl_2024,akl_2024_item9,Introduction,Objectives,4a,Describe and justify any changes since the preceding version to the review's objective(s) or question(s).,Introduction,english,km
APA_2018,APA_2018,APA_2018_item1,Title,,,"Make it clear that the report describes a research synthesis and include meta-analysis, if applicable",Title,english,km
APA_2018,APA_2018,APA_2018_item10,Introduction,,,Clear statement of the question or relation(s) under investigation,Introduction,english,km
APA_2018,APA_2018,APA_2018_item11,Introduction,,,Historical background,Introduction,english,km
APA_2018,APA_2018,APA_2018_item12,Introduction,,,"Theoretical, policy, and/or practical issues related to the question or relation(s) of interest",Introduction,english,km
APA_2018,APA_2018,APA_2018_item13,Introduction,,,Rational for the selection and coding of potential moderators and mediators of results,Introduction,english,km
APA_2018,APA_2018,APA_2018_item14,Introduction,,,"Types of study designs used in the primary research, their strengths and weaknesses",Introduction,english,km
APA_2018,APA_2018,APA_2018_item15,Introduction,,,"Types of predictor and outcome measures used, their psychometric characteristics",Introduction,english,km
APA_2018,APA_2018,APA_2018_item16,Introduction,,,Populations to which the question or relation is relevant,Introduction,english,km
APA_2018,APA_2018,APA_2018_item17,Introduction,,,"Hypotheses, if any",Introduction,english,km
APA_2018,APA_2018,APA_2018_item18,Methods,Inclusion and Exclusion Criteria,,Operational characteristics of independent (predictor) and dependent (outcomes) variable(s),Methodology,english,km
APA_2018,APA_2018,APA_2018_item19,Methods,Inclusion and Exclusion Criteria,,Eligible participants populations,Methodology,english,km
APA_2018,APA_2018,APA_2018_item2,Title,,,Footnote funding source(s),Other,english,km
APA_2018,APA_2018,APA_2018_item20,Methods,Inclusion and Exclusion Criteria,,"Eligible research design features (e.g., random assignment only, minimal sample size)",Methodology,english,km
APA_2018,APA_2018,APA_2018_item21,Methods,Inclusion and Exclusion Criteria,,Time period in which studies needed to be conducted,Methodology,english,km
APA_2018,APA_2018,APA_2018_item22,Methods,Inclusion and Exclusion Criteria,,Geographical and/or cultural restrictions,Methodology,english,km
APA_2018,APA_2018,APA_2018_item23,Methods,Search Strategies,,Reference and citation databases searched,Methodology,english,km
APA_2018,APA_2018,APA_2018_item24,Methods,Search Strategies,,Registries (including prospective registries) searched,Methodology,english,km
APA_2018,APA_2018,APA_2018_item25,Methods,Search Strategies,,Keywords used to enter databases and registries,Methodology,english,km
APA_2018,APA_2018,APA_2018_item26,Methods,Search Strategies,,Search software used and version,Methodology,english,km
APA_2018,APA_2018,APA_2018_item27,Methods,Search Strategies,,"Time period in which studies needed to be conducted, if applicable",Methodology,english,km
APA_2018,APA_2018,APA_2018_item28,Methods,Search Strategies,,"Other efforts to retrieve all available studies, e.g., Listservs queried",Methodology,english,km
APA_2018,APA_2018,APA_2018_item29,Methods,Search Strategies,,"Other efforts to retrieve all available studies, e.g., Contacts made with authors (and how authors were chosen)",Methodology,english,km
APA_2018,APA_2018,APA_2018_item3,Abstract,,,The problem of relation(s) under investigation,Abstract,english,km
APA_2018,APA_2018,APA_2018_item30,Methods,Search Strategies,,"Other efforts to retrieve all available studies, e.g., Reference lists of reports examined",Methodology,english,km
APA_2018,APA_2018,APA_2018_item31,Methods,Search Strategies,,Method of addressing reports in languages other than English,Methodology,english,km
APA_2018,APA_2018,APA_2018_item32,Methods,Search Strategies,,Process for determining study eligibility,Methodology,english,km
APA_2018,APA_2018,APA_2018_item33,Methods,Search Strategies,,"Aspects of reports examined (i.e., title, abstract, and/or full text)",Methodology,english,km
APA_2018,APA_2018,APA_2018_item34,Methods,Search Strategies,,Number and qualifications of relevance judges,Methodology,english,km
APA_2018,APA_2018,APA_2018_item35,Methods,Search Strategies,,Indication of agreement,Methodology,english,km
APA_2018,APA_2018,APA_2018_item36,Methods,Search Strategies,,How disagreements were resolved,Methodology,english,km
APA_2018,APA_2018,APA_2018_item37,Methods,Search Strategies,,Treatment of unpublished studies,Methodology,english,km
APA_2018,APA_2018,APA_2018_item38,Methods,Coding Procedures,,"Number and qualification of coders (e.g., level of expertise in the area, training)",Methodology,english,km
APA_2018,APA_2018,APA_2018_item39,Methods,Coding Procedures,,Intercoder reliability or agreement,Methodology,english,km
APA_2018,APA_2018,APA_2018_item4,Abstract,,,Study eligibility criteria,Abstract,english,km
APA_2018,APA_2018,APA_2018_item40,Methods,Coding Procedures,,"Whether each report was coded by more than one coder and, if so, how disagreements were resolved",Methodology,english,km
APA_2018,APA_2018,APA_2018_item41,Methods,Coding Procedures,,Assessment of study quality,Methodology,english,km
APA_2018,APA_2018,APA_2018_item42,Methods,Coding Procedures,,"If a study quality scale was employed, a description of criteria and the procedures for application",Methodology,english,km
APA_2018,APA_2018,APA_2018_item43,Methods,Coding Procedures,,"If study design features were coded, what these were",Methodology,english,km
APA_2018,APA_2018,APA_2018_item44,Methods,Coding Procedures,,How missing data were handled,Methodology,english,km
APA_2018,APA_2018,APA_2018_item45,Methods,Moderator and Mediator Analyses,,Definition of all coding categories used to test moderators or mediators of the relation(s) of interest,Methodology,english,km
APA_2018,APA_2018,APA_2018_item46,Methods,Statistical Methods,,Effect size metric(s),Methodology,english,km
APA_2018,APA_2018,APA_2018_item47,Methods,Statistical Methods,,"Effect size calculating formulas (e.g., means and SDs, use of univariate factor transformation, etc.)",Methodology,english,km
APA_2018,APA_2018,APA_2018_item48,Methods,Statistical Methods,,"Corrections made to effect sizes (e.g., small sample bias, correction for unequal sample sizes, etc.)",Methodology,english,km
APA_2018,APA_2018,APA_2018_item49,Methods,Statistical Methods,,Effect size averaging and/or weighting method(s),Methodology,english,km
APA_2018,APA_2018,APA_2018_item5,Abstract,,,Type(s) of participants included in primary studies,Abstract,english,km
APA_2018,APA_2018,APA_2018_item50,Methods,Statistical Methods,,How effect size confidence intervals (or standard errors) were calculated,Methodology,english,km
APA_2018,APA_2018,APA_2018_item51,Methods,Statistical Methods,,"How effect size credibility intervals were calculated, if used",Methodology,english,km
APA_2018,APA_2018,APA_2018_item52,Methods,Statistical Methods,,How studies with more than one effect size were handled,Methodology,english,km
APA_2018,APA_2018,APA_2018_item53,Methods,Statistical Methods,,Whether fixed-effects and/or random-effects models were used and the model choice justification,Methodology,english,km
APA_2018,APA_2018,APA_2018_item54,Methods,Statistical Methods,,How heterogeneity in effect sizes was assessed or estimated,Methodology,english,km
APA_2018,APA_2018,APA_2018_item55,Methods,Statistical Methods,,"Means and SDs for measurement artifacts, if construct-level relationships were the focus",Methodology,english,km
APA_2018,APA_2018,APA_2018_item56,Methods,Statistical Methods,,"Tests and any adjustments for data censoring (e.g., publication bias, selective reporting)",Methodology,english,km
APA_2018,APA_2018,APA_2018_item57,Methods,Statistical Methods,,Tests for statistical outliers,Methodology,english,km
APA_2018,APA_2018,APA_2018_item58,Methods,Statistical Methods,,Statistical power of the meta-analysis,Methodology,english,km
APA_2018,APA_2018,APA_2018_item59,Methods,Statistical Methods,,Statistical program or software packages used to conduct statistical analyses,Methodology,english,km
APA_2018,APA_2018,APA_2018_item6,Abstract,,,Meta‐analysis methods (indicating whether a fixed‐effects or random‐effects model was used),Abstract,english,km
APA_2018,APA_2018,APA_2018_item60,Results,,,Number of citations examined for relevance,Results,english,km
APA_2018,APA_2018,APA_2018_item61,Results,,,List of citations included in the synthesis,Results,english,km
APA_2018,APA_2018,APA_2018_item62,Results,,,Number of citations relevant on many but not all inclusion criteria excluded from the meta‐analysis,Results,english,km
APA_2018,APA_2018,APA_2018_item63,Results,,,"Number of exclusions for each exclusion criteria (e.g., effect size could not be calculated), with examples",Results,english,km
APA_2018,APA_2018,APA_2018_item64,Results,,,"Table giving descriptive information for each included study, including effect size and sample size",Results,english,km
APA_2018,APA_2018,APA_2018_item65,Results,,,Tables and/or graphical summaries,Results,english,km
APA_2018,APA_2018,APA_2018_item66,Results,,,"Overall characteristics of the database (e.g., number of studies with different research designs)",Results,english,km
APA_2018,APA_2018,APA_2018_item67,Results,,,"Overall effect size estimates, including measures of uncertainty (e.g., confidence and/or credibility intervals)",Results,english,km
APA_2018,APA_2018,APA_2018_item68,Results,,,Assessment of bias including possible data censoring,Results,english,km
APA_2018,APA_2018,APA_2018_item69,Discussion,,,Statement of major findings,Discussion,english,km
APA_2018,APA_2018,APA_2018_item7,Abstract,,,Main results (including the more important effect sizes and any important moderators of these effect sizes),Abstract,english,km
APA_2018,APA_2018,APA_2018_item70,Discussion,,,Consideration of alternative explanations for observed results,Discussion,english,km
APA_2018,APA_2018,APA_2018_item71,Discussion,,,Impact of data censoring,Methodology,english,km
APA_2018,APA_2018,APA_2018_item72,Discussion,,,"Generalizability of conclusions, e.g., relevant populations",Discussion,english,km
APA_2018,APA_2018,APA_2018_item73,Discussion,,,"Generalizability of conclusions, e.g., treatment variations",Discussion,english,km
APA_2018,APA_2018,APA_2018_item74,Discussion,,,"Generalizability of conclusions, e.g., dependent (outcome) variables",Discussion,english,km
APA_2018,APA_2018,APA_2018_item75,Discussion,,,"Generalizability of conclusions, e.g., research designs",Discussion,english,km
APA_2018,APA_2018,APA_2018_item76,Discussion,,,General limitations (including assessment of the quality of studies included),Discussion,english,km
APA_2018,APA_2018,APA_2018_item77,Discussion,,,"Implications and interpretation for theory, policy, or practice",Discussion,english,km
APA_2018,APA_2018,APA_2018_item78,Discussion,,,Guidelines for future research,Discussion,english,km
APA_2018,APA_2018,APA_2018_item79,References,,,References,Other Information,english,km
APA_2018,APA_2018,APA_2018_item8,Abstract,,,Conclusion (including limitations),Abstract,english,km
APA_2018,APA_2018,APA_2018_item9,Abstract,,,"Implications for theory, policy, and/or practice",Abstract,english,km
ardern_2021,ardern_2021,ardern_2021_item1,Title,Title,1,Identify the report as a systematic review.,Title,english,km
ardern_2021,ardern_2021,ardern_2021_item10,Methods,Data items,10a,"List and define all outcomes for which data were sought. Specify whether all results that were compatible with each outcome domain in each study were sought (e.g. for all measures, time points, analyses), and if not, the methods used to decide which results to collect.",Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item11,Methods,Data items,10b,"List and define all other variables for which data were sought (e.g. participant and intervention characteristics, funding sources). Describe any assumptions made about any missing or unclear information.",Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item12,Methods,Study risk of bias assessment,11,"Specify the methods used to assess risk of bias in the included studies, including details of the tool(s) used, how many reviewers assessed each study and whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item13,Methods,Effect measures,12,"Specify for each outcome the effect measure(s) (e.g. risk ratio, mean difference) used in the synthesis or presentation of results.",Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item14,Methods,Synthesis methods,13a,Describe the processes used to decide which studies were eligible for each synthesis (e.g. tabulating the study intervention characteristics and comparing against the planned groups for each synthesis (item #5)).,Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item15,Methods,Synthesis methods,13b,"Describe any methods required to prepare the data for presentation or synthesis, such as handling of missing summary statistics, or data conversions.",Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item16,Methods,Synthesis methods,13c,Describe any methods used to tabulate or visually display results of individual studies and syntheses.,Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item17,Methods,Synthesis methods,13d,"Describe any methods used to synthesize results and provide a rationale for the choice(s). If meta-analysis was performed, describe the model(s), method(s) to identify the presence and extent of statistical heterogeneity, and software package(s) used.",Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item18,Methods,Synthesis methods,13e,"Describe any methods used to explore possible causes of heterogeneity among study results (e.g. subgroup analysis, meta-regression).",Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item19,Methods,Synthesis methods,13f,Describe any sensitivity analyses conducted to assess robustness of the synthesized results.,Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item2,Abstract,Abstract,2,See the PRISMA 2020 for Abstracts checklist.,Abstract,english,km
ardern_2021,ardern_2021,ardern_2021_item20,Methods,Reporting bias assessment,14,Describe any methods used to assess risk of bias due to missing results in a synthesis (arising from reporting biases).,Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item21,Methods,Certainty assessment,15,Describe any methods used to assess certainty (or confidence) in the body of evidence for an outcome.,Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item22,Results,Study selection,16a,"Describe the results of the search and selection process, from the number of records identified in the search to the number of studies included in the review, ideally using a flow diagram.",Results,english,km
ardern_2021,ardern_2021,ardern_2021_item23,Results,Study selection,16b,"Cite studies that might appear to meet the inclusion criteria, but which were excluded, and explain why they were excluded.",Results,english,km
ardern_2021,ardern_2021,ardern_2021_item24,Results,Study characteristics,17,Cite each included study and present its characteristics.,Results,english,km
ardern_2021,ardern_2021,ardern_2021_item25,Results,Risk of bias in studies,18,Present assessments of risk of bias for each included study.,Results,english,km
ardern_2021,ardern_2021,ardern_2021_item26,Results,Results of individual studies,19,"For all outcomes, present, for each study: (a) summary statistics for each group (where appropriate) and (b) an effect estimate and its precision (e.g. confidence/credible interval), ideally using structured tables or plots.",Results,english,km
ardern_2021,ardern_2021,ardern_2021_item27,Results,Results of syntheses,20a,"For each synthesis, briefly summarise the characteristics and risk of bias among contributing studies.",Results,english,km
ardern_2021,ardern_2021,ardern_2021_item28,Results,Results of syntheses,20b,"Present results of all statistical syntheses conducted. If meta-analysis was done, present for each the summary estimate and its precision (e.g. confidence/credible interval) and measures of statistical heterogeneity. If comparing groups, describe the direction of the effect.",Results,english,km
ardern_2021,ardern_2021,ardern_2021_item29,Results,Results of syntheses,20c,Present results of all investigations of possible causes of heterogeneity among study results.,Results,english,km
ardern_2021,ardern_2021,ardern_2021_item3,Introduction,Rationale,3,Describe the rationale for the review in the context of existing knowledge.,Introduction,english,km
ardern_2021,ardern_2021,ardern_2021_item30,Results,Results of syntheses,20d,Present results of all sensitivity analyses conducted to assess the robustness of the synthesized results.,Results,english,km
ardern_2021,ardern_2021,ardern_2021_item31,Results,Reporting biases,21,Present assessments of risk of bias due to missing results (arising from reporting biases) for each synthesis assessed.,Results,english,km
ardern_2021,ardern_2021,ardern_2021_item32,Results,Certainty of evidence,22,Present assessments of certainty (or confidence) in the body of evidence for each outcome assessed.,Results,english,km
ardern_2021,ardern_2021,ardern_2021_item33,Discussion,Discussion,23a,Provide a general interpretation of the results in the context of other evidence.,Discussion,english,km
ardern_2021,ardern_2021,ardern_2021_item34,Discussion,Discussion,23b,Discuss any limitations of the evidence included in the review.,Discussion,english,km
ardern_2021,ardern_2021,ardern_2021_item35,Discussion,Discussion,23c,Discuss any limitations of the review processes used.,Discussion,english,km
ardern_2021,ardern_2021,ardern_2021_item36,Discussion,Discussion,23d,"Discuss implications of the results for practice, policy, and future research.",Discussion,english,km
ardern_2021,ardern_2021,ardern_2021_item37,Other information,Registration and protocol,24a,"Provide registration information for the review, including register name and registration number, or state that the review was not registered.",Other Information,english,km
ardern_2021,ardern_2021,ardern_2021_item38,Other information,Registration and protocol,24b,"Indicate where the review protocol can be accessed, or state that a protocol was not prepared.",Other Information,english,km
ardern_2021,ardern_2021,ardern_2021_item39,Other information,Registration and protocol,24c,Describe and explain any amendments to information provided at registration or in the protocol.,Other Information,english,km
ardern_2021,ardern_2021,ardern_2021_item4,Introduction,Objectives,4,Provide an explicit statement of the objective(s) or question(s) the review addresses.,Introduction,english,km
ardern_2021,ardern_2021,ardern_2021_item40,Other information,Support,25,"Describe sources of financial or non-financial support for the review, and the role of the funders or sponsors in the review.",Other Information,english,km
ardern_2021,ardern_2021,ardern_2021_item41,Other information,Competing interests,26,Declare any competing interests of review authors.,Other Information,english,km
ardern_2021,ardern_2021,ardern_2021_item42,Other information,"Availability of data, code and other materials",27,Report which of the following are publicly available and where they can be found: template data collection forms; data extracted from included studies; data used for all analyses; analytic code; any other materials used in the review.,Other Information,english,km
ardern_2021,ardern_2021,ardern_2021_item5,Methods,Eligibility criteria,5,Specify the inclusion and exclusion criteria for the review and how studies were grouped for the syntheses.,Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item6,Methods,Information sources,6,"Specify all databases, registers, websites, organisations, reference lists and other sources searched or consulted to identify studies. Specify the date when each source was last searched or consulted.",Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item7,Methods,Search strategy,7,"Present the full search strategies for all databases, registers and websites, including any filters and limits used.",Methodology,english,km
ardern_2021,ardern_2021,ardern_2021_item8,Methods,Selection process,8,"Specify the methods used to decide whether a study met the inclusion criteria of the review, including how many reviewers screened each record and each report retrieved, whether they worked independently, and if applicable, details of automation tools used in the process.",Methodology,english,km
